time,0,10,30,60,90,100,250,500,1000,1500,2000,3000,4000,5000
282,0.214,0.221,0.233,0.235,0.264,0.253,0.323,0.307,0.4,0.341,0.39,0.386,0.427,0.603
288,0.214,0.221,0.234,0.235,0.264,0.254,0.324,0.308,0.402,0.343,0.392,0.388,0.429,0.605
294,0.214,0.221,0.234,0.236,0.265,0.255,0.326,0.31,0.404,0.344,0.394,0.389,0.431,0.607
300,0.214,0.221,0.234,0.237,0.266,0.256,0.327,0.311,0.406,0.346,0.395,0.392,0.433,0.609
306,0.214,0.222,0.235,0.237,0.267,0.257,0.329,0.313,0.408,0.347,0.397,0.393,0.435,0.611
312,0.214,0.222,0.235,0.238,0.268,0.258,0.33,0.314,0.41,0.349,0.398,0.395,0.437,0.613
318,0.215,0.222,0.236,0.238,0.269,0.259,0.332,0.316,0.411,0.35,0.4,0.398,0.439,0.616
324,0.215,0.222,0.236,0.239,0.269,0.259,0.333,0.317,0.413,0.352,0.401,0.399,0.441,0.617
330,0.215,0.222,0.237,0.239,0.27,0.26,0.334,0.318,0.415,0.353,0.403,0.4,0.443,0.619
336,0.215,0.223,0.237,0.24,0.271,0.261,0.335,0.319,0.416,0.354,0.404,0.402,0.445,0.621
342,0.215,0.223,0.237,0.241,0.272,0.261,0.337,0.32,0.418,0.355,0.406,0.404,0.447,0.623
348,0.215,0.223,0.238,0.241,0.272,0.262,0.338,0.322,0.419,0.357,0.407,0.405,0.448,0.625
354,0.215,0.223,0.238,0.242,0.273,0.263,0.339,0.323,0.421,0.358,0.408,0.407,0.45,0.627
360,0.215,0.223,0.239,0.242,0.274,0.264,0.34,0.324,0.422,0.359,0.409,0.408,0.452,0.629
366,0.215,0.223,0.239,0.243,0.275,0.264,0.341,0.325,0.423,0.36,0.41,0.41,0.453,0.631
372,0.215,0.224,0.239,0.243,0.275,0.265,0.342,0.326,0.425,0.362,0.411,0.412,0.455,0.633
378,0.215,0.224,0.24,0.244,0.276,0.266,0.344,0.328,0.426,0.363,0.412,0.413,0.457,0.635
384,0.215,0.224,0.24,0.244,0.276,0.266,0.345,0.328,0.427,0.364,0.413,0.414,0.458,0.637
390,0.215,0.224,0.24,0.245,0.277,0.267,0.346,0.33,0.429,0.365,0.415,0.416,0.46,0.639
396,0.215,0.224,0.241,0.245,0.278,0.267,0.347,0.331,0.43,0.366,0.416,0.418,0.462,0.64
402,0.216,0.224,0.241,0.246,0.278,0.268,0.348,0.332,0.431,0.367,0.417,0.418,0.463,0.642
408,0.216,0.225,0.242,0.246,0.279,0.269,0.349,0.333,0.432,0.368,0.418,0.42,0.465,0.644
414,0.216,0.225,0.242,0.247,0.28,0.269,0.35,0.334,0.434,0.369,0.419,0.421,0.466,0.646
420,0.215,0.225,0.242,0.247,0.28,0.27,0.351,0.335,0.435,0.37,0.42,0.422,0.468,0.648
426,0.216,0.225,0.243,0.248,0.281,0.271,0.352,0.336,0.436,0.371,0.421,0.425,0.469,0.649
432,0.216,0.225,0.243,0.248,0.281,0.271,0.353,0.337,0.437,0.372,0.422,0.425,0.471,0.651
438,0.216,0.225,0.243,0.249,0.282,0.272,0.354,0.338,0.438,0.373,0.422,0.426,0.472,0.653
444,0.216,0.226,0.244,0.249,0.283,0.273,0.355,0.339,0.439,0.374,0.423,0.428,0.474,0.655
450,0.216,0.226,0.244,0.25,0.283,0.273,0.356,0.339,0.44,0.375,0.424,0.43,0.475,0.656
456,0.216,0.226,0.244,0.25,0.284,0.274,0.357,0.34,0.441,0.376,0.425,0.431,0.476,0.658
462,0.216,0.226,0.245,0.25,0.285,0.274,0.358,0.341,0.442,0.377,0.426,0.432,0.478,0.659
468,0.216,0.226,0.245,0.251,0.285,0.275,0.359,0.342,0.443,0.377,0.427,0.434,0.479,0.661
474,0.216,0.226,0.245,0.251,0.286,0.276,0.36,0.343,0.444,0.378,0.428,0.435,0.48,0.663
480,0.216,0.226,0.246,0.252,0.286,0.276,0.361,0.344,0.445,0.379,0.429,0.436,0.481,0.664
486,0.217,0.227,0.246,0.252,0.287,0.277,0.362,0.345,0.447,0.38,0.43,0.437,0.483,0.666
492,0.216,0.227,0.246,0.252,0.287,0.277,0.362,0.345,0.447,0.381,0.43,0.438,0.484,0.667
498,0.217,0.227,0.247,0.253,0.288,0.278,0.364,0.346,0.449,0.382,0.431,0.439,0.485,0.669
504,0.217,0.227,0.247,0.253,0.289,0.278,0.364,0.347,0.449,0.383,0.432,0.44,0.487,0.671
510,0.217,0.227,0.247,0.254,0.289,0.279,0.365,0.348,0.45,0.384,0.433,0.441,0.488,0.672
516,0.217,0.228,0.247,0.254,0.29,0.279,0.366,0.348,0.451,0.384,0.434,0.442,0.489,0.674
522,0.217,0.228,0.248,0.255,0.29,0.28,0.367,0.349,0.452,0.385,0.435,0.443,0.49,0.675
528,0.217,0.228,0.248,0.255,0.291,0.28,0.368,0.35,0.453,0.386,0.436,0.444,0.491,0.677
534,0.217,0.228,0.248,0.255,0.291,0.281,0.369,0.35,0.454,0.387,0.437,0.446,0.493,0.679
540,0.217,0.228,0.248,0.256,0.292,0.281,0.369,0.351,0.455,0.388,0.438,0.447,0.494,0.68
546,0.217,0.228,0.249,0.256,0.292,0.281,0.37,0.352,0.456,0.388,0.439,0.447,0.495,0.682
552,0.217,0.228,0.249,0.257,0.293,0.282,0.371,0.353,0.457,0.389,0.439,0.449,0.496,0.683
558,0.217,0.228,0.249,0.257,0.293,0.282,0.372,0.353,0.458,0.39,0.44,0.449,0.497,0.685
564,0.217,0.229,0.25,0.257,0.294,0.283,0.373,0.354,0.458,0.391,0.441,0.45,0.498,0.686
570,0.217,0.229,0.25,0.258,0.294,0.283,0.373,0.354,0.459,0.391,0.442,0.451,0.499,0.687
576,0.218,0.229,0.25,0.258,0.294,0.284,0.374,0.355,0.46,0.392,0.443,0.452,0.5,0.689
582,0.217,0.229,0.25,0.258,0.295,0.284,0.375,0.356,0.461,0.393,0.444,0.453,0.501,0.69
588,0.218,0.229,0.25,0.259,0.296,0.285,0.376,0.356,0.462,0.393,0.445,0.454,0.502,0.692
594,0.218,0.229,0.251,0.259,0.296,0.285,0.377,0.357,0.463,0.394,0.446,0.455,0.503,0.694
600,0.218,0.229,0.251,0.259,0.296,0.285,0.377,0.358,0.464,0.395,0.447,0.456,0.504,0.695
