,filename,frame_number,well_num,buffer,porod_exp,rc_med,rc_std_err_med,rad_rat,elong,vc,mass_vc,rg_vc,N_vc
0,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00001.sub.1.dat,00001,A12,Buffer1,2.0118606661288,15.601191253633509,5.578129885116709,2.0988621520239406,FALSE,492.9953111045392,144.1448293382969,27.193619962351626,1287.0074048062222
1,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00002.sub.1.dat,00002,A12,Buffer1,3.1086826532256135,16.22864712079222,4.651867468141802,1.4384302418316983,FALSE,332.5599899099479,79.86194494397964,22.33472598589295,713.053079856961
2,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00003.sub.1.dat,00003,A12,Buffer1,3.3116398556665505,15.306136146207878,5.7007416885254845,1.469123685629586,FALSE,331.2050532419674,79.37437462998321,22.289180780435856,708.6997734819929
3,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00004.sub.1.dat,00004,A12,Buffer1,2.8908771895482417,16.711279837799182,5.576263819749795,1.5418861745014485,FALSE,425.4004011664331,115.53983098802036,25.26065323283722,1031.6056338216104
4,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00005.sub.1.dat,00005,A12,Buffer1,3.552962656990392,16.936234699920696,4.516676012291664,1.345066844679411,FALSE,367.75406592767666,92.86907284039776,23.486828199897808,829.1881503606944
5,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00006.sub.1.dat,00006,A12,Buffer1,2.505990895352098,16.20046536670625,5.516245893570302,1.6678123066201795,FALSE,394.31565368479625,103.11002983698073,24.320227805824402,920.6252664016137
6,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00007.sub.1.dat,00007,A12,Buffer1,3.1760639807842423,16.43808380511165,5.796792071435327,1.518738711312681,FALSE,351.96066961998537,86.95130174117878,22.976966823973484,776.350908403382
7,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00008.sub.1.dat,00008,A12,Buffer1,3.9476719795407917,16.406622455869066,5.230358700667384,1.2376732596832365,FALSE,272.0411363184549,59.086294610875946,20.200537232402567,527.5562018828209
8,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00009.sub.1.dat,00009,A12,Buffer1,3.140013201987796,18.468930066841082,8.244991543170105,1.1973265686359782,FALSE,335.30974015618347,80.85448940363813,22.426872502296774,721.9150839610547
9,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00010.sub.1.dat,00010,A12,Buffer1,4.214847234829091,15.085736372440461,11.101915362519936,1.3095192820537394,FALSE,281.09686104305405,62.06101571768624,20.53400330097814,554.1162117650557
10,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00011.sub.1.dat,00011,A12,Buffer1,2.8814097200212823,14.734197978523765,6.132478984995327,1.6496240539974438,FALSE,445.8256378267443,123.96025032988315,25.859977895197755,1106.7879493739567
11,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00012.sub.1.dat,00012,A12,Buffer1,3.494980475975279,15.41290012590138,4.416341212089434,1.2915660496196013,FALSE,330.21177525528526,79.0175789917764,22.25573325871174,705.5140981408607
12,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00013.sub.1.dat,00013,A12,Buffer1,2.3313896154124683,15.05740339301519,5.232607454163423,2.0849231120114085,FALSE,451.04154052785316,126.14199579146884,26.010811421249045,1126.267819566686
13,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00014.sub.1.dat,00014,A12,Buffer1,3.8748070670351917,15.808767708767393,6.301578407316585,1.3094781510087614,FALSE,294.68994628032254,66.6166615676659,21.024626498953168,594.7916211398741
14,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00015.sub.1.dat,00015,A12,Buffer1,2.9242142031148197,13.789959458781228,4.274618803751422,1.7998457137049146,FALSE,395.51691414822767,103.58156687037449,24.357244737907887,924.8354184854866
15,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00016.sub.1.dat,00016,A12,Buffer1,2.2131374906711287,13.949419313894817,6.0233926995735745,2.019962618450508,FALSE,501.324631656852,147.81327869335908,27.422380412452853,1319.7614169049918
16,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00017.sub.1.dat,00017,A12,Buffer1,2.9877846034545645,15.262279740234652,5.411639644624533,1.6446509133363565,FALSE,424.7155720338232,115.26094130424923,25.240312162307635,1029.115547359368
17,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00018.sub.1.dat,00018,A12,Buffer1,3.5106426285602117,14.605833479259745,5.915707976146957,1.4140201590115071,FALSE,343.6596820961739,83.89339335132905,22.7043943575745,749.0481549225808
18,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00019.sub.1.dat,00019,A12,Buffer1,4.668674962804564,15.84244982536514,12.802442331235074,1.0524050503760298,FALSE,215.7301447773978,41.72546042269351,17.988752518340362,372.5487537740492
19,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00020.sub.1.dat,00020,A12,Buffer1,2.483971682467461,16.108478235705476,4.554641027203068,1.7762860725117684,FALSE,399.76197059461106,105.25363444968339,24.487608210928165,939.7645933007445
