,filename,frame_number,well_num,buffer,rg_med,rg_std_err_med,rg_pstat,io_med,Vp,mass_vp
27,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00028.sub.1.dat,00028,A12,Buffer1,18.94287529739599,5.005221598429335,6.587814697664438e-08,7.71234368926959,39953.43048268595,33.16134730062934
28,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00029.sub.1.dat,00029,A12,Buffer1,10.09851677067941,0.5356528517934173,3.312357637667591e-05,2.184789963218817,9971.050368915838,8.275971806200145
29,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00030.sub.1.dat,00030,A12,Buffer1,19.796436991893074,9.671313735239996,5.504483616321537e-07,7.5055532128543,41276.97209900092,34.259886842170765
30,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00031.sub.1.dat,00031,A12,Buffer1,24.81755069852986,6.204792488540479,7.519894980556771e-10,10.354756664652335,81826.99427634219,67.91640524936402
31,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00032.sub.1.dat,00032,A12,Buffer1,22.983098462282328,6.589304733146132,2.2432437503057921e-07,9.258831174162301,66702.15406024597,55.362787870004155
32,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00033.sub.1.dat,00033,A12,Buffer1,9.350782993392563,1.9970983846461519,1.2549558659322309e-05,1.8712294723891179,8283.306164108904,6.87514411621039
33,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00034.sub.1.dat,00034,A12,Buffer1,24.96372295026157,5.7214653641783535,6.854802803663176e-08,10.326962809383145,82410.52972180228,68.40073966909588
34,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00035.sub.1.dat,00035,A12,Buffer1,20.983432631339586,7.521461632942676,2.6841662276159066e-07,7.920051189025422,49079.508745304985,40.73599225860314
35,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00036.sub.1.dat,00036,A12,Buffer1,17.356057789486385,7.6396264594301275,1.4894541956018307e-05,6.602611404110083,30309.28615199445,25.156707506155392
36,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00037.sub.1.dat,00037,A12,Buffer1,26.76465554533046,6.990904905685513,6.504814001879707e-05,11.323242519483255,94730.06078534648,78.62595045183758
