id,rg,io,mass,N
SASDPV4,1.244,0.943174,NA,129
SASDPW4,1.487,0.97356,NA,190
SASDPX4,3.118,1.08129,NA,301
SASDPY4,3.072,1.09031,NA,388
SASDPZ4,1.428,1.01206,NA,129
SASDP25,1.474,1.0251,NA,124
SASDP35,1.603,0.0314742,NA,190
SASDP45,3.157,1.09263,NA,303
SASDP55,3.261,0.611894,NA,388
SASDNF2,3.302,17.8875,86.86,334
SASDNG2,3.57,137.868,88.68,334
SASDKS7,3.307,22637.6,224,263
SASDKT7,3.33,17151.3,222,263
SASDKU7,3.321,17503,223,263
SASDQN6,1.887,0.0253938,30.76,126
SASDNH2,3.61,0.0734388,185.14,473
SASDQB5,3.508,0.00563085,94,408
SASDQC5,2.695,0.025885,46,279
SASDQD5,3.148,0.0547974,111,408
SASDJS7,3.47,0.01908,46,184
SASDJT7,3.68,0.01988,48,184
SASDNK8,3.3,0.00788646,68,354
SASDNL8,3.1,0.00442203,72,385
SASDPK4,2.224,0.0105112,23,115
SASDPF7,1.5,0.0100092,16.3,124
SASDPG7,1.494,0.019935,16.4,124
SASDPH7,3.223,0.0672974,221,302
SASDPJ7,3.246,0.0785201,214,302
SASDPK7,3.227,0.179596,228,388
SASDPL7,3.304,0.305835,233,388
SASDPM7,1.611,0.0264769,24.8,190
SASDPN7,1.625,0.0194323,24,190
SASDP79,4.08,0.00385644,54,144
SASDNM3,2.95,3.48717,34,224
SASDPE8,3.345,0.0251765,83,145
SASDPF8,3.217,0.0187804,75,166
SASDN98,4.44,44711.1,151,449
SASDNA8,5.766,52628.8,111,449
SASDPD4,2.13,5879.39,22.7,149
SASDPE4,3.09,8211.14,94.2,213
SASDPF4,3.24,8501.05,72.5,149
SASDP39,2.794,25.5453,105,518
SASDNN5,2.053,0.00362359,27,79
SASDNP5,2.969,0.0372904,44,69
SASDNQ5,3.34,0.0280166,59,79
SASDNR5,3.22,0.0675137,48,79
SASDNS5,2.295,0.00417386,30,79
SASDPG4,2.563,173990,83,183
SASDPH4,2.474,154191,95.5,183
SASDP56,4.148,0.36272,NA,198
SASDP66,3.781,0.677895,98,198
SASDP76,3.75,0.649446,100,198
SASDP86,6.257,1.22175,NA,198
SASDP96,5.221,1.56745,NA,198
SASDPA6,4.771,1.30588,NA,198
SASDMY6,4.189,0.00441843,350,396
SASDMX7,6.96,0.0208333,316,1246
SASDP49,3.7,88.9173,166,139
SASDP59,4.1,0.0630961,189,133
SASDPA4,3.878,0.960113,153.8,166
SASDPB4,6.572,0.405626,NA,166
SASDKX8,5.356,0.289879,370,792
SASDKY8,5.538,0.294127,567,792
SASDN75,2.63,34.2734,76.65,223
SASDEX6,2.859,77.71,86.8,567
SASDPX7,3.84,9819.38,31.7,171
SASDPY7,7.383,10236.9,NA,171
SASDPZ7,7.068,8505.45,NA,171
SASDNK6,2.41,0.0283171,66,362
SASDNL6,2.497,0.0584429,64,362
SASDNM6,2.62,0.128975,68,362
SASDNN6,3.989,0.0409644,NA,116
SASDNP6,4.177,0.0547509,NA,116
SASDNQ6,4.111,0.0682263,NA,116
SASDNR6,2.89,0.022648,80,362
SASDNS6,2.97,0.0487528,84,362
SASDNT6,3.29,0.111022,93,362
SASDNU6,2.964,0.0246334,84,362
SASDNV6,3.599,0.0123725,45,116
SASDNX3,2.183,0.0202825,33,152
SASDNY3,1.689,0.0128601,30,152
SASDNT5,3.849,0.674345,206.8,329
SASDPT3,5.221,148.879,385.77,216
SASDPU3,5.423,195.863,410.86,216
SASDHB5,3.83,17.97,110,332
SASDHC5,4.615,27.32,183,552
SASDHD5,2.727,1.69,59,228
SASDN97,7.662,28.1693,1800,2860
SASDNA7,8.112,61.3677,1950,2861
SASDJJ5,3.73,794.43,260,64
SASDFF5,2.21,0.022,39,206
SASDFG5,6.15,0.1979,1490,469
SASDFH5,5.39,0.09066,856,206
SASDNU5,3.089,70.0544,111,102
SASDMK3,2.26,8.67056,43,203
SASDNP3,5.9,0.304241,504,1427
SASDNQ3,4.23,0.213344,426,1427
SASDLF4,3.92,12.1151,135,916
SASDLG4,4.174,34.0772,135,916
SASDLH4,4.033,34.318,131,914
SASDLJ4,4.056,17.5145,135,916
SASDLK4,3.994,32.243,133,916
SASDLL4,3.981,39.0177,130,916
SASDJX7,2.65,46.97,50,312
SASDNC5,3.65,0.0334532,115,378
SASDND5,3.447,0.276283,150,915
SASDNE5,3.983,0.347692,230,915
SASDNF5,19.925,0.373382,NA,164
SASDN77,3.1,0.0363142,87,312
SASDN87,4.2,0.0594006,NA,110
SASDMB5,3.224,122.41,85,594
SASDMC5,3.32,201.361,132,594
SASDMD5,3.278,55.283,156,594
SASDME5,3.463,52.1908,215,594
SASDP43,14.686,0.0200674,NA,745
SASDP53,14.149,0.0192607,NA,745
SASDP63,14.362,0.0145211,NA,745
SASDP73,15,0.0457489,NA,745
SASDP83,15.72,0.0847492,NA,745
SASDP93,2.567,0.0306159,44,318
SASDPA3,3.24,0.0326225,44,318
SASDPB3,3.242,0.0166937,46,318
SASDPC3,3.781,0.0312434,115,121
SASDKU9,3.044,147104,81,251
SASDPJ4,2.63,24.6382,57,281
SASDNE8,2.91,49577500,141.7,771
SASDPM2,2.9,0.103632,142,771
SASDPN2,3.17,0.116645,187,771
SASDPP2,3.06,24340300,148,771
SASDPQ2,3.166,0.105604,188,748
SASDPR2,3.17,0.105646,185,748
SASDPS2,3.07,0.115059,122,685
SASDPT2,3.07,0.115165,120,685
SASDPU2,3.29,0.118514,175,685
SASDMS5,8.78,104.01,586.72,1018
SASDMT5,5.6,43.3405,122.73,379
SASDNK9,7.324,0.428461,480,1804
SASDNL9,10.3,0.0744009,2300,1746
SASDNM9,1.887,729202,56,307
SASDNN9,3.185,945269,80,591
SASDNP9,3.501,0.139054,115,507
SASDNQ9,2.844,0.111473,85,489
SASDNR9,3.806,305.06,186,1084
SASDNS9,2.921,0.0226585,82,494
SASDNT9,3.806,0.235722,155,1006
SASDNU9,5.7,0.127845,420,2181
SASDNV9,6.71,0.0369995,680,1938
SASDNV5,4.28,0.109935,240,1252
SASDN55,1.94,0.0191716,43.6,197
SASDN65,1.9,0.0186774,44,197
SASDMR5,4.6,0.0770412,480,1048
SASDMC4,3.653,0.0318357,126,376
SASDMD4,3.671,0.0250931,124,375
SASDME4,3.554,0.0204386,118,365
SASDNB7,2.208,0.0123732,49,269
SASDNC7,2.66,0.0240916,70.5,394
SASDND7,3.31,0.0158987,84,269
SASDNE7,4.05,2545.1,158,544
SASDKZ9,4.71,6878.06,287.99,1178
SASDL22,4.14,3999.66,244.58,1057
SASDL32,4.471,4792.23,248.62,1291
SASDLJ7,2.774,0.0165053,140,123
SASDPF2,2.55,6922.74,55,168
SASDPB9,6.444,19.3577,217,820
SASDLM8,2.877,1.18183,85,364
SASDLN8,2.359,0.87998,76,364
SASDLP8,2.845,2.59545,71.6,350
SASDLQ8,2.463,2.76787,80,350
SASDLR8,2.332,0.00559637,63,314
SASDL58,4.67,0.353602,NA,138
SASDL68,4.97,0.317151,NA,138
SASDL78,4.92,0.31655,NA,138
SASDL88,5.14,0.312296,NA,138
SASDL98,5.45,0.321904,NA,138
SASDLA8,5.73,0.339575,NA,138
SASDLB8,5.38,0.305172,NA,138
SASDLC8,5.72,0.310579,NA,138
SASDLD8,2.22,1.36E-04,NA,138
SASDLE8,2.17,1.63E-04,NA,138
SASDLF8,2.08,1.97E-04,NA,138
SASDLG8,2.02,2.11E-04,NA,138
SASDLH8,1.94,1.77E-04,NA,138
SASDLJ8,1.95,1.27E-04,NA,138
SASDLK8,1.95,8.20E-05,NA,138
SASDLL8,5.688,0.333522,NA,138
SASDNG5,5.197,0.682812,530,615
SASDNH5,5.163,0.624492,540,615
SASDND6,3.079,0.118145,107,311
SASDNE6,3.064,0.147048,105,311
SASDNY7,4.38,11832.9,408.8,211
SASDNZ7,4.474,20322.1,475,211
SASDN28,4.45,74700.2,438.2,211
SASDN38,4.75,0.167316,430.2,211
SASDN48,3.75,50670.5,290,160
SASDN58,3.75,46709.9,291.2,160
SASDMJ8,10.986,1.84451,1720,588
SASDMK8,8.649,1.21734,830,658
SASDML8,2.326,0.250995,71,588
SASDMM8,11.167,2.80622,NA,588
SASDMN8,11.326,1.3182,NA,588
SASDMP8,11.424,0.558092,417,588
SASDMQ8,6.812,0.83603,460,588
SASDMR8,8.47,0.902526,NA,588
SASDMS8,3.36,0.693079,NA,588
SASDMT8,2.242,0.0991376,NA,588
SASDMU8,3.149,0.0726904,NA,588
SASDMV8,4.033,0.196822,NA,588
SASDL39,7.35,164.64,378,459
SASDL49,4.423,43.1979,98.4,459
SASDL59,7.58,143.233,365,459
SASDNF6,6.424,0.0643382,896,417
SASDNG6,6.424,0.0644779,911,417
SASDNH6,5.702,0.0173188,477,417
SASDNJ6,5.966,0.0178956,500,417
SASDHL8,2.261,163.27,78.13,505
SASDHM8,2.21,36.63,74.32,491
SASDLD2,3.643,32.03,105,413
SASDLE2,3.526,56.8907,104,413
SASDLF2,3.56,569.648,125,483
SASDLG2,3.53,281.748,123,10
SASDLH2,3.656,666.239,126,486
SASDLJ2,3.53,251.978,125,10
SASDLK2,3.703,234.933,127,486
SASDLL2,3.535,259.136,125,10
SASDLM2,3.62,228.637,120,466
SASDLN2,3.492,53.9459,125,10
SASDNH3,3.172,0.0288288,91,580
SASDNJ3,3.195,0.0583302,91,580
SASDNK3,3.226,0.134697,93,580
SASDNL3,3.191,0.131826,90,580
SASDKP3,3.652,0.0587434,79,588
SASDKQ3,4.625,0.0640581,87,492
SASDMX5,5.275,89.4464,615,513
SASDMY5,5.06,61.3246,467,513
SASDMZ5,2.578,15.6787,88,595
SASDM26,4.375,272.492,296,514
SASDKK3,3.154,0.0396578,170,1017
SASDKL3,3.146,0.021105,165,1017
SASDKM3,3.081,0.0302232,165,1017
SASDKN3,3.037,0.02,175,1017
SASDMX9,2.108,0.0150979,42,245
SASDMY9,2.295,0.0828075,35,247
SASDMZ9,5.39,0.043991,93,534
SASDN22,2.04,0.0456309,45,245
SASDN32,2.08,0.0252014,41,245
SASDN42,5.18,0.0409398,84,245
SASDNW5,1.92,0.011081,35,156
SASDNX5,2.78,0.0259576,53,324
SASDNY5,3.41,0.0389907,88,468
SASDNZ5,3.3,0.0367862,80,466
SASDN26,3.49,0.0427454,92,466
SASDKY9,4.186,58.9709,354,658
SASDK52,2.567,1.77977,49.7,265
SASDK62,2.313,1.61844,43.6,265
SASDK72,3.586,3.81286,106,265
SASDNJ2,7.022,0.448867,1650,286
SASDNK2,7.793,0.31208,1620,109
SASDMA5,1.18,0.911781,10,60
SASDLV2,4.03,0.203421,244,1439
SASDLW2,3.921,0.206462,248,1439
SASDMU6,2.01,0.00575678,28.1,155
SASDMV6,2.2,0.0266195,42.3,206
SASDMW6,3.37,0.265084,171,1082
SASDLE9,3.865,0.0451752,96.5,232
SASDKY7,4.151,25.6438,417.8,680
SASDKZ7,4.53,11.2226,432.5,680
SASDL87,3.15,0.0208848,100.8,444
SASDMC9,3.27,0.034604,102,456
SASDM67,6.65,95.911,346.4,1048
SASDJV3,2.02,295.75,28,134
SASDM42,4.215,0.0905734,NA,362
SASDM52,4.287,0.090608,NA,362
SASDM62,4.842,0.113502,NA,362
SASDM72,4.889,0.113772,NA,362
SASDNY9,2.4,0.00771428,55,320
SASDNZ9,2.8,0.0532251,77,320
SASDP22,2.802,0.175176,85,320
SASDP32,2.813,0.354118,89,320
SASDP42,2.224,0.00726946,44,320
SASDP52,2.42,0.0486053,61,320
SASDP62,2.293,0.11839,58,320
SASDP72,2.348,0.144317,58,320
SASDP82,2.9,0.00813647,63,320
SASDP92,3.4,0.0547844,78,320
SASDPA2,4.433,0.498615,140,320
SASDPB2,3.25,0.00920553,70,320
SASDPC2,3.415,0.0640127,70,320
SASDPD2,4.8,0.281691,120,320
SASDNZ3,2.667,3.17685,56,354
SASDJE6,1.93,0.012,5.1,78
SASDJF6,2.58,0.0085,13,78
SASDJG6,1.43,0.00136,1.2,40
SASDJH6,1.93,0.011,NA,51
SASDNR3,5.36,108.347,141,722
SASDNS3,4.69,21.0873,102,393
SASDNT3,7.39,35.0987,759,393
SASDKS4,7.809,0.502988,1280,2488
SASDKT4,7.19,0.537379,1270,2488
SASDKU4,9.538,0.633854,1370,2488
SASDKV4,7.065,0.519635,1260,2488
SASDKW4,6.987,0.49083,1270,2488
SASDKX4,7.794,0.460121,1390,2488
SASDMU3,4.258,15.6491,148,814
SASDN85,6.393,57749,1630,572
SASDN95,6.606,34775.5,1600,572
SASDNA5,6.418,70885.9,1800,572
SASDNB5,6.143,33840.9,1700,572
SASDMG4,3.596,0.00603164,NA,783
SASDMH4,4.277,0.00475075,NA,783
SASDMY7,2.2,0.0501843,24,62
SASDMZ7,2.17,0.0493219,24,62
SASDM28,2.18,0.0486827,24,62
SASDM38,2.175,0.0477606,24,62
SASDM48,2.168,0.0475742,24,62
SASDM58,2.155,0.0468184,24.3,62
SASDM68,2.155,0.0469053,24,62
SASDM78,2.165,0.0472594,NA,62
SASDM88,2.422,0.115344,27,62
SASDM98,2.477,0.116281,27,62
SASDMA8,2.44,0.115202,27,62
SASDMB8,2.45,0.114927,27,62
SASDMC8,2.39,0.114702,28,62
SASDMD8,2.44,0.113988,27,62
SASDME8,2.43,0.11385,28,62
SASDMF8,2.41,0.112445,28,62
SASDMQ6,4.7,0.171377,200,202
SASDLK9,7.201,0.029841,338,475
SASDLL9,7.096,0.0236876,327,477
SASDNC3,3.066,0.130379,82,271
SASDND3,4.669,0.221671,183,273
SASDNE3,5.424,0.280971,313,275
SASDNF3,3.926,0.116678,85,268
SASDNG3,4.11,0.0649503,87,262
SASDN52,2.311,0.0781005,13,131
SASDN62,1.797,0.162589,11,191
SASDN72,1.872,0.140574,10,191
SASDN82,4.757,0.107287,20,131
SASDLP2,4.402,1.39E-04,330,378
SASDLP4,2.28,0.034188,53.6,212
SASDLQ4,2.56,0.0361863,61.4,267
SASDLR4,3.55,0.0671631,212,252
SASDMT3,4.03,0.0634751,260,300
SASDMX3,5.236,0.734021,NA,465
SASDNF7,2.236,105.531,59.34,328
SASDNG7,2.99,115.089,122,328
SASDP88,5.15,0.0417151,137,251
SASDNA3,3.5,0.0459685,35,110
